,Loss,Correct,Accuracy
0,620.3961919546127,21250.0,0.425
1,410.1532669663429,31155.0,0.6231
2,319.26568937301636,35724.0,0.71448
3,270.4382173418999,37900.0,0.758
4,242.7639427781105,39332.0,0.78664
5,221.72576341032982,40178.0,0.80356
6,205.74170100688934,40925.0,0.8185
7,194.88220953941345,41435.0,0.8287
8,186.34534481167793,41841.0,0.83682
9,175.19064456224442,42232.0,0.84464
10,167.63072672486305,42631.0,0.85262
11,161.32814493775368,42928.0,0.85856
12,156.41926324367523,43065.0,0.8613
13,149.84656909108162,43415.0,0.8683
14,146.16308926045895,43482.0,0.86964
15,140.48795172572136,43775.0,0.8755
16,136.18001030385494,44020.0,0.8804
17,135.61241655051708,44052.0,0.88104
18,132.18986780941486,44153.0,0.88306
19,128.67120224237442,44401.0,0.88802
20,126.36473652720451,44409.0,0.88818
21,124.54067952930927,44466.0,0.88932
22,120.63284203410149,44644.0,0.89288
23,117.6122991591692,44797.0,0.89594
24,117.1945758163929,44832.0,0.89664
25,114.82235983014107,44932.0,0.89864
26,113.71184214949608,45068.0,0.90136
27,111.67629139870405,45083.0,0.90166
28,108.93745838850737,45156.0,0.90312
29,109.52222707867622,45191.0,0.90382
30,106.98837996274233,45303.0,0.90606
31,103.29550258815289,45395.0,0.9079
32,102.27736881375313,45473.0,0.90946
33,99.9214421659708,45573.0,0.91146
34,101.19667695462704,45537.0,0.91074
35,97.90391445159912,45685.0,0.9137
36,97.09231934696436,45737.0,0.91474
37,93.53521301597357,45805.0,0.9161
38,92.02038352191448,45970.0,0.9194
39,93.2081413641572,45907.0,0.91814
40,89.56372644752264,46114.0,0.92228
41,87.54191744327545,46105.0,0.9221
42,85.8268818333745,46197.0,0.92394
43,84.53995721787214,46150.0,0.923
44,84.15426539629698,46322.0,0.92644
45,81.67752265930176,46375.0,0.9275
46,80.35470692068338,46511.0,0.93022
47,80.01494198665023,46467.0,0.92934
48,78.0065518990159,46516.0,0.93032
49,76.68452002108097,46606.0,0.93212
50,74.03694035485387,46728.0,0.93456
51,74.08511971309781,46719.0,0.93438
52,71.9033014960587,46846.0,0.93692
53,70.90937618911266,46824.0,0.93648
54,70.95723487436771,46843.0,0.93686
55,67.98371402919292,46966.0,0.93932
56,67.0001472197473,47013.0,0.94026
57,66.30701740458608,47033.0,0.94066
58,64.27900619804859,47096.0,0.94192
59,60.57835363596678,47298.0,0.94596
60,61.901008035987616,47239.0,0.94478
61,61.57146925851703,47273.0,0.94546
62,59.97224263474345,47353.0,0.94706
63,57.89183409884572,47412.0,0.94824
64,57.42167382314801,47476.0,0.94952
65,55.79615220054984,47528.0,0.95056
66,52.07408953085542,47691.0,0.95382
67,52.64754141867161,47693.0,0.95386
68,50.954616751521826,47739.0,0.95478
69,48.22134499065578,47891.0,0.95782
70,48.44147948920727,47841.0,0.95682
71,49.687450874596834,47774.0,0.95548
72,45.37570066191256,47985.0,0.9597
73,45.530589163303375,47958.0,0.95916
